genres,Genre_1,Genre_2,imdb_rating,length,rank_in_year,rating,release_date,studio,title,year
"Thriller
Adventure
Action",Thriller,Adventure,7.1,110,3,PG-13,22-May-96,Paramount Pictures,Mission: Impossible,1996
"Thriller
Adventure
Action",Thriller,Adventure,7.4,136,4,R,7-Jun-96,Hollywood Pictures,The Rock,1996
"Family
Drama
Animation",Family,Drama,6.9,91,5,G,21-Jun-96,Walt Disney Pictures,The Hunchback of Notre Dame,1996
"Family
Comedy
Adventure",Family,Comedy,5.6,103,6,G,27-Nov-96,Walt Disney Pictures,101 Dalmatians,1996
"Thriller
Crime",Thriller,Crime,6.6,121,7,R,8-Nov-96,Touchstone Pictures / Imagine Entertainment,Ransom,1996
"Sci-Fi
Romance
Comedy",Sci-Fi,Romance,5.5,95,8,PG-13,28-Jun-96,Universal Pictures,The Nutty Professor,1996
"Romance
Drama
Comedy",Romance,Drama,7.3,139,9,R,13-Dec-96,TriStar Pictures,Jerry Maguire,1996
"Mystery
Drama
Action",Mystery,Drama,6,115,10,R,21-Jun-96,Warner Bros.,Eraser,1996
"Thriller
Adventure
Action",Thriller,Adventure,7.6,131,1,R,19-May-95,20th Century Fox / Cinergi Pictures,Die Hard with a Vengeance,1995
"Comedy
Animation
Adventure",Comedy,Animation,8.3,81,2,G,22-Nov-95,Walt Disney Pictures / Pixar,Toy Story,1995
"History
Drama
Adventure",History,Drama,7.6,140,3,PG,30-Jun-95,Universal Pictures / Imagine Entertainment,Apollo 13,1995
"Thriller
Adventure
Action",Thriller,Adventure,7.2,130,4,PG-13,17-Nov-95,United Artists,GoldenEye,1995
"Drama
Animation
Adventure",Drama,Animation,6.6,81,5,G,23-Jun-95,Walt Disney Pictures,Pocahontas,1995
"Fantasy
Adventure
Action",Fantasy,Adventure,5.4,121,6,PG-13,16-Jun-95,Warner Bros. / PolyGram,Batman Forever,1995
"Mystery
Drama
Thriller",Mystery,Drama,8.7,127,7,R,22-Sep-95,New Line Cinema,Seven,1995
"Fantasy
Family
Comedy",Fantasy,Family,6,100,8,PG,26-May-95,Universal Pictures,Casper,1995
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,6.1,135,9,PG-13,28-Jul-95,Universal Pictures,Waterworld,1995
"Fantasy
Family
Adventure",Fantasy,Family,6.8,104,10,PG,15-Dec-95,TriStar Pictures,Jumanji,1995
"Drama
Animation
Adventure",Drama,Animation,8.5,89,1,G,24-Jun-94,Walt Disney Pictures,The Lion King,1994
"Romance
Drama",Romance,Drama,8.8,142,2,PG-13,6-Jul-94,Paramount Pictures,Forrest Gump,1994
"Thriller
Comedy
Action",Thriller,Comedy,7.2,141,3,R,15-Jul-94,20th Century Fox,True Lies,1994
"Fantasy
Crime
Comedy",Fantasy,Crime,6.8,101,4,PG-13,29-Jul-94,New Line Cinema,The Mask,1994
"Thriller
Crime
Action",Thriller,Crime,7.2,116,5,R,10-Jun-94,20th Century Fox,Speed,1994
"Fantasy
Family
Comedy",Fantasy,Family,4.8,91,6,PG,27-May-94,Universal Pictures / Amblin Entertainment,The Flintstones,1994
Comedy,Comedy,,7.3,107,7,PG-13,16-Dec-94,New Line Cinema,Dumb and Dumber,1994
"Romance
Drama
Comedy",Romance,Drama,7.1,117,8,R,15-Apr-94,Gramercy Pictures / PolyGram,Four Weddings and a Funeral,1994
"Romance
Horror",Romance,Horror,7.6,123,9,R,11-Nov-94,Warner Bros. / Geffen Pictures,Interview with the Vampire: The Vampire Chronicles,1994
